title,itemId,Address,Latitude ,Longitude,Reviews
Shaniwar Wada,1,"Shaniwar Peth, Pune, Maharashtra 411030",18.51962745,73.85529604,
Sinhagad Fort,2,"Sinhagad Ghat Rd, Thoptewadi, Maharashtra 411025",18.36656209,73.75586697,
Aga Khan Palace,3,"HW22+XHW, Nagar Road, Samrat Ashok Rd, Pune, Maharashtra 411006",18.55269254,73.90140266,
Raja Dinkar Kelkar Museum,4,"No. 1377/78, Kamal Kunj, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002",18.51094493,73.85444143,
Pataleshwar Cave Temple,5,"GVG2+J5G, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411005",18.52682771,73.8503627,
Parvati Hill,6,"Parvati Paytha, Pune, Maharashtra 411009",18.49708721,73.84668594,
Shreemant Dagdusheth Halwai Ganpati Mandir,7,"Ganpati Bhavan, 250, Chhatrapati Shivaji Maharaj Rd, Mehunpura, Budhwar Peth, Pune, Maharashtra 411002",18.51666878,73.85606853,
Rajiv Gandhi Zoological Park,8,"Pune - Satara Rd, opp. Katraj Dairy, Katraj, Pune, Maharashtra 411046",18.45271986,73.86078697,
Laal Mahal,9,"Chhatrapati Shivaji Maharaj Rd, Durvankur Society, Kasba Peth, Pune, Maharashtra 411011",18.51902307,73.85661611,
Khadakwasla Dam,10,"Khadakwasla Dam, Khadakwasla Village, Khadakwasla, Pune, Maharashtra 411025",18.43870773,73.77246081,
Pune-Okayama Friendship Garden,11,"Dattawadi, Pune, Maharashtra 411030",18.49172408,73.83778839,
Mahadji Shinde Chhatri,12,"FVRW+MW3, Wanawadi Rd, Pune Cantonment, Pune, Maharashtra 411001",18.49185504,73.8973614,
Bhaja Caves,13,"PFHJ+9J3, Bhaje Caves Road, District, near Bhaja Village, Maval, Lonavala, Maharashtra 412106",18.72867232,73.48152424,
Fergusson College Road,14,"Shivajinagar, Pune, Maharashtra",18.52301623,73.838891,
Vishrambaug Wada,15,,,73.838891,
Vetal Tekdi,16,,,,
Mulshi Dam,17,,,,
Laxmi Road,18,,,,
Pashan Lake,19,,,,
Panshet Dam,20,,,,
Bund Garden Road,21,,,,
Joshi's Museum Of Miniature Railways,22,,,,
Shri Chatushrungi Devi Temple,23,,,,
Krushnai Water Park & Resort,24,,,,
ISKCON NVCC Pune,25,,,,
Mahatma Phule Museum,26,,,,
Empress Botanical Garden,27,,,,
Diamond Water Parks,28,,,,
Shri Mandhardevi Kalubai Mandir,29,,,,
SkyJumper Trampoline Park - Pune,30,,,,
Taljai Hills,31,,,,
Old Mumbai - Pune Highway,32,,,,
Shri Ahobila Mutt's Shri Balaji Mandir,33,,,,
Cab service in Pune,34,,,,
Osho Teerth Park,35,,,,
Tribal Research & Training Institute,36,,,,
SHREE CHHATRAPATI SHIVAJI MAHARAJ MUSEUM & INDIAN HISTORY,37,,,,
Mahatma Gandhi Road,38,,,,
BAPS Swaminarayan Mandir,39,,,,
Mahatma Phule Market,40,,,,
Diamond Water Park Road,41,,,,
Seven Wonders Dream Park,42,,,,
Saras Ganesh Mandir,43,,,,
Blades of Glory Cricket Museum,44,,,,
Shree Kasba Ganapati Mandal,45,,,,
Butterfly Trampoline Park - Hinjawadi (Pune),46,,,,
Paud Road,47,,,,
HongKong Lane,48,,,,
Katraj Snake Park Lake,49,,,,
Dr Babasaheb Ambedkar Museum & Memorial,50,,,,
Katraj Lake,51,,,,
Ramdara temple,52,,,,
"Bund Garden, Pune",53,,,,
Shree Gajanan Maharaj Temple,54,,,,
Peshwe Energy Park,55,,,,
Pimpri Chinchwad Science Park,56,,,,
Varasgaon Dam,57,,,,
Stepin Adventure,58,,,,
Shivsrushti Historical theme park Pune,59,,,,
Kanifnath Temple,60,,,,
Shree Omkareshwar Temple,61,,,,
Krushnai Water park & Resort Sales Office,62,,,,
Diamond water park,63,,,,
Gandhi National Memorial Society,64,,,,
Manas Lake,65,,,,
National War Memorial Southern Command,66,,,,
Wagheshwar Temple,67,,,,
Pune Maharashtra India,68,,,,
Late Sanjay Mahadeo Nimhan Gram Sanskruti Udyan,69,,,,
SmritiVan,70,,,,
Alandi Road,71,,,,
Baner Hill,72,,,,
Darshan Museum,73,,,,
Kamala Nehru Park,74,,,,
Dighi Hills,75,,,,
Taljai Tekdi,76,,,,
Yamai Temple,77,,,,
Zapurza Museum of Art & Culture,78,,,,
"Katraj Jain Temple, Aagam Mandir",79,,,,
Chatuhshrungi Paytha,80,,,,
ISKCON Pune Camp,81,,,,
Mastani Mahal,82,,,,
Jogger's Park,83,,,,
Katraj Ghat,84,,,,
Nilkantheshwar Mandir,85,,,,
Sri Ahobila Mutt Sri Balaji Mandir,86,,,,
Jambhulwadi Lake,87,,,,
Dive Ghat,88,,,,
Someshwar Temple,89,,,,
Shree Trishunda Ganpati Mandir,90,,,,
"Tribal Cultural museum,Pune",91,,,,
Bagul Udyan,92,,,,
Dinosaur Garden,93,,,,
Shree Sadguru Shankar Maharaj Samadhi Math,94,,,,
"Baneshwar Mandir, Baner",95,,,,
Peacock Bay,96,,,,
Lokmanya Tilak Museum,97,,,,
Darpan Art Gallery,98,,,,
Yashwantrao Chavan Garden,99,,,,
